Device,Width,Length,Corner,Max_error(%)
sky130_fd_pr__nfet_01v8,1.26,0.15,tt,130.410%
sky130_fd_pr__nfet_01v8,1.68,0.15,tt,207.693%
sky130_fd_pr__nfet_01v8,1.0,1.0,tt,8.619%
sky130_fd_pr__nfet_01v8,1.0,2.0,tt,6.256%
sky130_fd_pr__nfet_01v8,1.0,4.0,tt,4.720%
sky130_fd_pr__nfet_01v8,1.0,8.0,tt,3.654%
sky130_fd_pr__nfet_01v8,1.0,0.15,tt,158.092%
sky130_fd_pr__nfet_01v8,1.0,0.18,tt,736.549%
sky130_fd_pr__nfet_01v8,1.0,0.25,tt,137.125%
sky130_fd_pr__nfet_01v8,1.0,0.5,tt,17.041%
sky130_fd_pr__nfet_01v8,2.0,0.15,tt,173.133%
sky130_fd_pr__nfet_01v8,3.0,1.0,tt,9.343%
sky130_fd_pr__nfet_01v8,3.0,2.0,tt,20.739%
sky130_fd_pr__nfet_01v8,3.0,4.0,tt,5.024%
sky130_fd_pr__nfet_01v8,3.0,8.0,tt,4.110%
sky130_fd_pr__nfet_01v8,3.0,0.15,tt,38.448%
sky130_fd_pr__nfet_01v8,3.0,0.18,tt,31.266%
sky130_fd_pr__nfet_01v8,3.0,0.25,tt,48.702%
sky130_fd_pr__nfet_01v8,3.0,0.5,tt,6076.901%
sky130_fd_pr__nfet_01v8,5.0,1.0,tt,15.606%
sky130_fd_pr__nfet_01v8,5.0,2.0,tt,6.630%
sky130_fd_pr__nfet_01v8,5.0,4.0,tt,5.016%
sky130_fd_pr__nfet_01v8,5.0,8.0,tt,4.139%
sky130_fd_pr__nfet_01v8,5.0,0.15,tt,39.266%
sky130_fd_pr__nfet_01v8,5.0,0.18,tt,31.713%
sky130_fd_pr__nfet_01v8,5.0,0.25,tt,23.301%
sky130_fd_pr__nfet_01v8,5.0,0.5,tt,17.669%
sky130_fd_pr__nfet_01v8,7.0,1.0,tt,13.368%
sky130_fd_pr__nfet_01v8,7.0,2.0,tt,11.614%
sky130_fd_pr__nfet_01v8,7.0,4.0,tt,5.049%
sky130_fd_pr__nfet_01v8,7.0,8.0,tt,4.145%
sky130_fd_pr__nfet_01v8,7.0,0.15,tt,39.832%
sky130_fd_pr__nfet_01v8,7.0,0.18,tt,32.331%
sky130_fd_pr__nfet_01v8,7.0,0.25,tt,23.751%
sky130_fd_pr__nfet_01v8,7.0,0.5,tt,14.360%
sky130_fd_pr__nfet_01v8,0.42,1.0,tt,5.577%
sky130_fd_pr__nfet_01v8,0.42,20.0,tt,1.711%
sky130_fd_pr__nfet_01v8,0.42,2.0,tt,3.936%
sky130_fd_pr__nfet_01v8,0.42,4.0,tt,3.012%
sky130_fd_pr__nfet_01v8,0.42,8.0,tt,2.345%
sky130_fd_pr__nfet_01v8,0.42,0.15,tt,174.780%
sky130_fd_pr__nfet_01v8,0.42,0.18,tt,377.560%
sky130_fd_pr__nfet_01v8,0.42,0.5,tt,47.710%
sky130_fd_pr__nfet_01v8,0.55,1.0,tt,7.219%
sky130_fd_pr__nfet_01v8,0.55,2.0,tt,4.829%
sky130_fd_pr__nfet_01v8,0.55,4.0,tt,3.685%
sky130_fd_pr__nfet_01v8,0.55,8.0,tt,2.872%
sky130_fd_pr__nfet_01v8,0.55,0.15,tt,117.294%
sky130_fd_pr__nfet_01v8,0.55,0.5,tt,225.886%
sky130_fd_pr__nfet_01v8,0.64,0.15,tt,253.607%
sky130_fd_pr__nfet_01v8,0.84,0.15,tt,118.958%
sky130_fd_pr__nfet_01v8,0.74,0.15,tt,531.353%
sky130_fd_pr__nfet_01v8,0.36,0.15,tt,145.807%
sky130_fd_pr__nfet_01v8,0.39,0.15,tt,1195.507%
sky130_fd_pr__nfet_01v8,0.52,0.15,tt,182.887%
sky130_fd_pr__nfet_01v8,0.54,0.15,tt,125.349%
sky130_fd_pr__nfet_01v8,0.58,0.15,tt,237.787%
sky130_fd_pr__nfet_01v8,0.6,0.15,tt,1016.807%
sky130_fd_pr__nfet_01v8,0.61,0.15,tt,1619.771%
sky130_fd_pr__nfet_01v8,0.65,0.15,tt,172.689%
sky130_fd_pr__nfet_01v8,0.65,0.18,tt,4442.467%
sky130_fd_pr__nfet_01v8,0.65,0.25,tt,99.040%
sky130_fd_pr__nfet_01v8,0.65,0.5,tt,25.711%
